Handle,Title,Body (HTML),Variant SKU,Variant Price,Image Src,Cost per item,Variant Image,Variant Fulfillment Service,Variant Inventory Policy,Variant Inventory Tracker,Google Shopping / Gender,Type,Vendor,Tags,Status,Published,product.metafields.custom.original_prodect_url
"avery_polarized_brown_square_men's_sunglasses","Tom Ford, Avery Polarized Brown Square Men's Sunglasses","Tom Ford Sunglasses. Series Avery. Series number: FT0931. Color code: 52H. Shape: Square. Lens Width: 52 mm. Lens Bridge: 21 mm. Arm Length: 145 mm. 100% UV protection. Polarized. Frame Material: Plastic. Frame Color: Dark Havana. Lenses Type: Polarized Brown. Rim Style: Full-Rim. UPC/EAN code: 889214318114. Tom Ford Avery Polarized Brown Square Men's Sunglasses FT0931 52H 52. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","FT0931 52H 52","955","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-avery-polarized-brown-square-mens-sunglasses-ft0931-52h-52.jpg?width=546&height=546","734.96","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-avery-polarized-brown-square-mens-sunglasses-ft0931-52h-52.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Tom Ford, Avery","Active","TRUE","https://www.jomashop.com/tom-ford-avery-polarized-brown-square-mens-sunglasses-ft0931-52h-52.html"
"avery_polarized_brown_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-avery-polarized-brown-square-mens-sunglasses-ft0931-52h-52_2.jpg?width=546&height=546","","","","","","","","","","","",""
"avery_polarized_brown_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-avery-polarized-brown-square-mens-sunglasses-ft0931-52h-52_3.jpg?width=546&height=546","","","","","","","","","","","",""
"avery_polarized_brown_square_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-avery-polarized-brown-square-mens-sunglasses-ft0931-52h-52_4.jpg?width=546&height=546","","","","","","","","","","","",""
"raphael_gradient_brown_pilot_men's_sunglasses","Tom Ford, Raphael Gradient Brown Pilot Men's Sunglasses","Tom Ford Sunglasses. Series Raphael. Series number: FT0995. Color code: 32F. Shape: Pilot. Lens Width: 59 mm. Lens Bridge: 14 mm. Arm Length: 145 mm. 100% UV protection. Non-Polarized. Frame Material: Metal. Frame Color: Shiny Pale Gold. Lenses Type: Gradient Brown. Rim Style: Full-Rim. UPC/EAN code: 889214384645. Tom Ford Raphael Gradient Brown Pilot Men's Sunglasses FT0995 32F 59. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","FT0995 32F 59","859","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-raphael-gradient-brown-pilot-mens-sunglasses-ft0995-32f-59.jpg?width=546&height=546","661.46","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-raphael-gradient-brown-pilot-mens-sunglasses-ft0995-32f-59.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Tom Ford, Raphael","Active","TRUE","https://www.jomashop.com/tom-ford-raphael-gradient-brown-pilot-mens-sunglasses-ft0995-32f-59.html"
"raphael_gradient_brown_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-raphael-gradient-brown-pilot-mens-sunglasses-ft0995-32f-59_2_full-bleed.jpg?width=546&height=546","","","","","","","","","","","",""
"raphael_gradient_brown_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-raphael-gradient-brown-pilot-mens-sunglasses-ft0995-32f-59_3.jpg?width=546&height=546","","","","","","","","","","","",""
"raphael_gradient_brown_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-raphael-gradient-brown-pilot-mens-sunglasses-ft0995-32f-59_4.jpg?width=546&height=546","","","","","","","","","","","",""
"raphael_gradient_brown_pilot_men's_sunglasses","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/t/o/tom-ford-raphael-gradient-brown-pilot-mens-sunglasses-ft0995-32f-59_5.jpg?width=546&height=546","","","","","","","","","","","",""
"blue_square_men's_sunglasses","Prada Linea Rossa, Blue Square Men's Sunglasses","Prada Linea Rossa Sunglasses. Series number: PS 07WS. Color code: DG009R. Shape: Square. Lens Width: 59 mm. Lens Bridge: 17 mm. Arm Length: 130 mm. 100% UV protection. Non-Polarized. Frame Material: Plastic. Frame Color: Black Rubber. Lenses Type: Blue. Rim Style: Full-Rim. UPC/EAN code: 8056597661942. Prada Linea Rossa Blue Square Men's Sunglasses PS 07WS DG009R 59. <br><br>Manufacturer's Packaging Included. Packaging Size And Color May Vary.","PS 07WS DG009R 59","859","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/r/prada-linea-rossa-blue-square-mens-sunglasses-ps-07ws-dg009r-59.jpg?width=546&height=546","661.46","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/p/r/prada-linea-rossa-blue-square-mens-sunglasses-ps-07ws-dg009r-59.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Sunglasses, Prada Linea Rossa","Active","TRUE","https://www.jomashop.com/prada-linea-rossa-blue-square-mens-sunglasses-ps-07ws-dg009r-59.html"
