Handle,Title,Body (HTML),Variant SKU,Variant Price,Image Src,Cost per item,Variant Image,Variant Fulfillment Service,Variant Inventory Policy,Variant Inventory Tracker,Google Shopping / Gender,Type,Vendor,Tags,Status,Published,product.metafields.custom.original_prodect_url
"bold_quartz_silver_dial_stainless_steel_mesh_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-quartz-silver-dial-men_s-watch-3600589_3.jpg?width=546&height=546","","","","","","","","","","","",""
"bold_thin_chronograph_quartz_grey_dial_men's_watch","Movado, BOLD Thin Chronograph Quartz Grey Dial Men's Watch","Grey ion-plated stainless steel case with a dark navy leather strap. Fixed grey ion-plated bezel. Grey dial with rose gold-tone hands and index hour markers. The Movado dot appears atthe 12 o'clock position. Dial Type: Analog. Date display at the 4 o'clock position. Chronograph - two sub-dials displaying:  60 second and 30 minute. Day of the week sub-dial. Quartz movement. Scratch resistant K1 mineral crystal. Pull / push crown. Solid case back. Round case shape. Case size: 42 mm. Case thickness: 10 mm. Band width: 20 mm. Tang clasp. Water resistant at 30 meters / 100 feet. Functions: chronograph, date, day of the week, hour, minute, second. Bold Thin Series. Casual watch style. Movado BOLD Thin Chronograph Quartz Grey Dial Men's Watch 3600720.","3600720","1309","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-thin-chronograph-quartz-grey-dial-mens-watch-3600720.jpg?width=546&height=546","1006.95","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-thin-chronograph-quartz-grey-dial-mens-watch-3600720.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Watches, Movado, Bold Thin","Active","TRUE","https://www.jomashop.com/movado-bold-thin-chronograph-quartz-grey-dial-mens-watch-3600720.html"
"bold_thin_chronograph_quartz_grey_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-thin-chronograph-quartz-grey-dial-mens-watch-3600720_2.jpg?width=546&height=546","","","","","","","","","","","",""
"bold_thin_chronograph_quartz_grey_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-thin-chronograph-quartz-grey-dial-mens-watch-3600720_3.jpg?width=546&height=546","","","","","","","","","","","",""
"bold_quartz_black_dial_black_leather_men's_watch","Movado, Bold Quartz Black Dial Black Leather Men's Watch","Black TR90 composite case with a black leather strap. Fixed black TR90 composite bezel. Black dial with blue hands and no markers. No markers. The Movado dot appears at the 12 o'clock position. Dial Type: Analog. Quartz movement. Scratch resistant k1 crystal crystal. Pull / push crown. Solid case back. Round case shape. Case size: 42 mm. Case thickness: 11 mm. Band width: 22 mm. Band length: 8 inches. Tang clasp. Water resistant at 30 meters / 100 feet. Functions: hour, minute. Dress watch style. Movado Bold Quartz Black Dial Black Leather Men's Watch 3600307.","3600307","998","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-quartz-black-dial-black-leather-men_s-watch-3600307_5.jpg?width=546&height=546","768.07","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-quartz-black-dial-black-leather-men_s-watch-3600307_5.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Watches, Movado, Bold","Active","TRUE","https://www.jomashop.com/movado-watch-3600307.html"
"bold_quartz_black_dial_black_leather_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-quartz-black-dial-black-leather-men_s-watch-3600307_2_2.jpg?width=546&height=546","","","","","","","","","","","",""
"bold_quartz_black_dial_black_leather_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-quartz-black-dial-black-leather-men_s-watch-3600307_3_2.jpg?width=546&height=546","","","","","","","","","","","",""
"bold_quartz_black_dial_black_leather_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-quartz-black-dial-black-leather-men_s-watch-3600307_4_2.jpg?width=546&height=546","","","","","","","","","","","",""
"bold_black_dial_men's_watch","Movado, Bold Black Dial Men's Watch","Black ion-plated stainless steel case with a cognac leather strap. Fixed black ion-plated bezel. Black dial with metallic brown hands and index hour markers. Minute markers around the outer rim. The Movado dot appears at the 12 o'clock position. Dial Type: Analog. Quartz movement. Scratch resistant K1 mineral crystal. Pull / push crown. Solid case back. Round case shape. Case size: 41 mm. Band width: 20 mm. Tang clasp. Water resistant at 50 meters / 165 feet. Functions: hour, minute, second. Casual watch style. Movado Bold Black Dial Men's Watch 3600489.","3600489","807","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-black-dial-men_s-watch-3600489.jpg?width=546&height=546","621.07","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-black-dial-men_s-watch-3600489.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Watches, Movado, Bold","Active","TRUE","https://www.jomashop.com/movado-watch-3600489.html"
"bold_black_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-black-dial-men_s-watch-3600489_2.jpg?width=546&height=546","","","","","","","","","","","",""
