Handle,Title,Body (HTML),Variant SKU,Variant Price,Image Src,Cost per item,Variant Image,Variant Fulfillment Service,Variant Inventory Policy,Variant Inventory Tracker,Google Shopping / Gender,Type,Vendor,Tags,Status,Published,product.metafields.custom.original_prodect_url
"gmt_vintage_quartz_silver_dial_men's_watch","Versace, GMT Vintage Quartz Silver Dial Men's Watch","Silver-tone stainless steel case with a black leather strap. Fixed silver-tone stainless steel bezel. Silver dial with silver-tone hands and index hour markers. Medusa head marks the 12 o'clock position. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands and markers. Date display at the 3 o'clock position. Quartz movement. Scratch resistant sapphire crystal. Pull / push crown. Solid case back. Round case shape, case size: 42 mm. Buckle clasp. Water resistant at 50 meters / 165 feet. Functions: date, hour, minute, second. Gmt Vintage Series. Casual watch style. Watch label: Swiss Made. Versace GMT Vintage Quartz Silver Dial Men's Watch VEV300119.","VEV300119","2240","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-gmt-vintage-quartz-silver-dial-mens-watch-vev300119.jpg?width=546&height=546","1723.57","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-gmt-vintage-quartz-silver-dial-mens-watch-vev300119.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Watches, Versace, Gmt Vintage","Active","TRUE","https://www.jomashop.com/versace-gmt-vintage-quartz-silver-dial-mens-watch-vev300119.html"
"gmt_vintage_quartz_silver_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-gmt-vintage-quartz-silver-dial-mens-watch-vev300119_2.jpg?width=546&height=546","","","","","","","","","","","",""
"gmt_vintage_quartz_silver_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/v/e/versace-gmt-vintage-quartz-silver-dial-mens-watch-vev300119_3.jpg?width=546&height=546","","","","","","","","","","","",""
"museum_blue_dial_men's_watch","Movado, Museum Blue Dial Men's Watch","Stainless steel case with a black leather strap. Fixed stainless steel bezel. Cobalt blue dial with silver-tone hands. No markers. The Movado dot appears at the 12 o'clock position. Dial Type: Analog. Quartz movement. Scratch resistant sapphire crystal. Pull / push crown. Solid case back. Round case shape. Case size: 39 mm. Case thickness: 8 mm. Band width: 20 mm. Tang clasp. Water resistant at 30 meters / 100 feet. Functions: hour, minute. Musuem Series. Casual watch style. Watch label: Swiss Movt. Movado Museum Blue Dial Men's Watch 2100009.","2100009","1141","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-musuem-quartz-watch-2100009.jpg?width=546&height=546","878.32","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-musuem-quartz-watch-2100009.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Watches, Movado, Musuem","Active","TRUE","https://www.jomashop.com/movado-musuem-watch-2100009.html"
"museum_blue_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-musuem-quartz-watch-2100009_2.jpg?width=546&height=546","","","","","","","","","","","",""
"museum_blue_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-musuem-quartz-watch-2100009_3.jpg?width=546&height=546","","","","","","","","","","","",""
"premier_b09_chronograph_champagne_dial_hand_wind_men's_watch","Breitling, Premier B09 Chronograph Champagne Dial Hand Wind Men's Watch","Silver-tone stainless steel case with a brown alligator leather strap. Fixed silver-tone stainless steel bezel. Copper dial with silver-tone hands and Arabic numeral hour markers. Minute markers around the outer rim. Dial Type: Analog. Luminescent hands. Chronograph - two sub-dials displaying:  60 second and 30 minute. Breitling Calibre B09 hand wind movement with a 70-hour power reserve. Scratch resistant sapphire crystal. Pull / push crown. Transparent case back. Round case shape, case size: 40 mm, case thickness: 13 mm. Band width: 20/18 mm. Folding buckle clasp. Water resistant at 100 meters / 330 feet. Functions: chronograph, hour, minute, second. Premier B09 Series. Casual watch style. Watch label: Swiss Made. Breitling Premier B09 Chronograph Hand Wind Men's Watch AB0930F51H1P1.","AB0930F51H1P1","19826","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/b/r/breitling-premier-b09-chronograph-champagne-dial-hand-wind-mens-watch-ab0930f51h1p1.jpg?width=546&height=546","15251.25","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/b/r/breitling-premier-b09-chronograph-champagne-dial-hand-wind-mens-watch-ab0930f51h1p1.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Watches, Breitling, Premier","Active","TRUE","https://www.jomashop.com/breitling-premier-b09-chronograph-hand-wind-mens-watch-ab0930f51h1p1.html"
"premier_b09_chronograph_champagne_dial_hand_wind_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/b/r/breitling-premier-b09-chronograph-champagne-dial-hand-wind-mens-watch-ab0930f51h1p1_2.jpg?width=546&height=546","","","","","","","","","","","",""
"premier_b09_chronograph_champagne_dial_hand_wind_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/b/r/breitling-premier-b09-chronograph-champagne-dial-hand-wind-mens-watch-ab0930f51h1p1_3.jpg?width=546&height=546","","","","","","","","","","","",""
"flagship_automatic_white_dial_two-tone_men's_watch","Longines, Flagship Automatic White Dial Two-tone Men's Watch","Stainless steel case with a two-tone (silver-tone and rose gold PVD) stainless steel bracelet. Fixed rose gold PVD bezel. White dial with black hands and Roman numeral hour markers. Minute markers around an inner ring. Dial Type: Analog. Date display at the 3 o'clock position. Longines calibre L619/888 automatic movement, based upon ETA 2892, containing 21 Jewels, bitting at 25200 vph, and has a power reserve of approximately 64 hours. Scratch resistant sapphire crystal. Pull / push crown. Transparent case back. Round case shape. Case size: 38 mm. Band width: 20 mm. Fold over clasp with a push button release. Water resistant at 30 meters / 100 feet. Functions: date, hour, minute, second. Additional Info: dial set with 13 wesselton vs diamonds, for a total of 0.034 carats. Flagship Series. Luxury watch style. Watch label: Swiss Made. Longines Flagship Automatic White Dial Two-tone Men's Watch L49211117.","L49211117","5494","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/l/o/longines-flagship-white-dial-automatic-men_s-two-tone-watch-l49211117.jpg?width=546&height=546","4226.25","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/l/o/longines-flagship-white-dial-automatic-men_s-two-tone-watch-l49211117.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Watches, Longines, Flagship","Active","TRUE","https://www.jomashop.com/longines-flagship-watch-l49211117.html"
"flagship_automatic_white_dial_two-tone_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/l/o/longines-flagship-white-dial-automatic-men_s-two-tone-watch-l49211117_2.jpg?width=546&height=546","","","","","","","","","","","",""
"flagship_automatic_white_dial_two-tone_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/l/o/longines-flagship-white-dial-automatic-men_s-two-tone-watch-l49211117_3.jpg?width=546&height=546","","","","","","","","","","","",""
